pad_WELL_PAD_ID,pad_WELL_PAD,CLIENT,COUNTY,n_waste_records,total_tons,total_bbls,first_period,last_period,included
153071,ROSTOSKY,EQT PROD CO,Allegheny,15,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
153402,PRENTICE,EQT PROD CO,Allegheny,15,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
145010,BIG DADDY SHAW,RICE DRILLING B LLC,Washington,14,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
144796,CARPENTER,EQT PROD CO,Greene,14,146.9317.24,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
151509,BEAZER,EQT PROD CO,Greene,14,,,Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),Nov 2020 (WASTE: Unconventional wells),True
145491,J MONINGER,EQT PROD CO,Greene,13,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
153539,THAI VOLCANO,RICE DRILLING B LLC,Washington,13,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
151704,MCNEELY,RICE DRILLING B LLC,Greene,13,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
145547,GALLAGHER,EQT PROD CO,Washington,13,,,Feb 2019 (WASTE: Unconventional wells),Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),True
154372,HUNTER,EQT PROD CO,Washington,13,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
145250,NICOLOFF,EQT PROD CO,Greene,13,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
146837,CASHDOLLAR,EQT PRODUCTION CO,WASHINGTON,12,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
153534,TRINIDAD SCORPION,RICE DRILLING B LLC,Washington,12,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
145422,TRAX FARMS,CHESAPEAKE APPALACHIA LLC,Washington,12,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
154096,HEROLD A,RICE DRILLING B LLC,Greene,11,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
150450,PATTON,VANTAGE ENERGY APPALACHIA II LLC,Greene,11,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
151702,SCOTTS RUN,EQT PROD CO,Greene,11,,,Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),Nov 2020 (WASTE: Unconventional wells),True
152565,STROSNIDER,RICE DRILLING B LLC,Greene,10,20.14524.71,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
154155,STATE GAME LANDS,EQT PROD CO,Greene,10,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
147813,WERNER,CHESAPEAKE APPALACHIA LLC,Washington,10,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
149442,THUNDER UNIT ONE 1V,ALPHA SHALE RES LP,Greene,10,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
151439,SGL 223,ENERGY CORP OF AMER,Greene,9,,,Apr 2017 (WASTE: Unconventional wells),May 2017 (WASTE: Unconventional wells),True
