original_filename,lab_sample_id,assigned_rid,method
001062_20250709120939906.pdf,511206601,s:511206601,single_report
001076_20250709123850545.pdf,G1810B31-001,s:G1810B31-001,single_report
001159_20250709142511997.pdf,490-53327-1-1 DU,s:490-53327-1-1 DU,single_report
001170_20250709143919351.pdf,30235793001,s:30235793001,single_report
001173_20250709144233152.pdf,7J31134-11,s:7J31134-11,metadata_cluster
001173_20250709144233152.pdf,7L08058-01,s:7L08058-01,metadata_cluster
001173_20250709144233152.pdf,7L08058-02,s:7L08058-01,metadata_cluster
001173_20250709144233152.pdf,7K09001-01,s:7K09001-01,metadata_cluster
001173_20250709144233152.pdf,7K09001-02,s:7K09001-01,metadata_cluster
001173_20250709144233152.pdf,7K09001-03,s:7K09001-01,metadata_cluster
001173_20250709144233152.pdf,7K09001-04,s:7K09001-01,metadata_cluster
001173_20250709144233152.pdf,8A15101-01,s:8A15101-01,metadata_cluster
001176_Inflection Energy_Stunner-Smith_RWC 809_Form 26R_RY2020.pdf,1A14085-01,s:1A14085-01,single_report
001178_Mono_802_26Rlab.pdf,G1512D51-001,s:G1512D51-001,single_report
001181_20250709145325156.pdf,G1704525-001,s:G1704525-001,single_report
001181_20250709145325156.pdf,G1704525-002,s:G1704525-001,single_report
001187_Inflection Energy_Yoder_RWC 802_Form 26R_RY2020.pdf,1A14213-01,s:1A14213-01,single_report
001192_23E0457 FINAL AllDraftModified 01 Jun 23 1039.pdf,23E0457,s:23E0457,single_report
"001197_Strawn, Robert 11479-810-G1912221.pdf",G1921221-001,s:G1921221-001,single_report
001219_30290603_JB.pdf,11751 ECKELS PRODUCTION,s:11751 ECKELS PRODUCTION,single_report
001222_30290602_JB.pdf,11750,s:11750,single_report
001230_30290603_JB.pdf,11751,s:11751,single_report
001235_30290602_JB.pdf,11750 FLICKENGER PRODUCTION SO,s:11750 FLICKENGER PRODUCTION SO,single_report
001235_30290602_JB.pdf,MEI ID# 11750 FLICKENGER PRODU,s:11750 FLICKENGER PRODUCTION SO,single_report
001265_30290603_JB.pdf,11751,s:11751,single_report
001279_30290602_JB.pdf,11750 FLICKENGER PRODUCTION SO,s:11750 FLICKENGER PRODUCTION SO,single_report
001279_Brova_804_26RLab.pdf,4073096-01,s:4073096-01,single_report
001289_SWRO Packet_Final.pdf,1J19150-01,s:1J19150-01,metadata_cluster
001289_SWRO Packet_Final.pdf,AYK0448-01,s:AYK0448-01,metadata_cluster
001296_J177354-1 UDS Level 2 Report Final Report.pdf,180-180-177354-1,s:180-180-177354-1,single_report
001319_Vankirk Clark 11822 - 899 CW.pdf,24C2996-01,s:24C2996-01,single_report
001327_PER 2019 SWRO 26R Submittal.pdf,9A28038-01,s:9A28038-01,single_report
"001328_BarnesAJMorris,Veres,SGL223.pdf",9A28003-04,s:9A28003-04,single_report
001329_batch 167.pdf,30166699001,s:30166699001,single_report
001331_batch 169.pdf,30181235001,s:30181235001,single_report
001370_2024-12-03 BURLEIGH 508 MARCELLUS 26R ANALYTICAL 24L0216_1 ESL.pdf,30739908001,s:30739908001,single_report
001378_Claypoole 802.pdf,5F24150-01,s:5F24150-01,single_report
001395_2024-12-05 FLACK 502 MARCELLUS 26R ANALYTICAL 24L0733_1 ESL.pdf,30740337001,s:30740337001,single_report
001403_2024-12-05 SYNNESTVEST 22# UTICA 26R ANALYTICAL 24L0730_1 ESL.pdf,30740338001,s:30740338001,single_report
001403_DCNR 007 D 2020-11-24 DCNR 007 D 128HU 26R ANALYTICAL 0K25013 FAIRWAY.pdf,0K25013-01,s:0K25013-01,single_report
001404_Abell (05_112)_802_PW 2020 (2).pdf,30336694002,s:30336694002,single_report
001407_2024-12-09 007K UTICA 26R ANALYTICAL 24L1037_1 ESL.pdf,30741326001,s:30741326001,single_report
001418_XPR_SW_2023.pdf,30618621001,s:30618621001,single_report
